turn,heroes,zombies
0,150,1
1,149,2
2,149,2
3,149,2
4,149,2
5,149,2
6,147,4
7,147,4
8,146,5
9,145,6
10,145,6
11,145,6
12,145,6
13,144,7
14,144,7
15,145,6
16,146,5
17,145,6
18,146,5
19,146,5
20,146,5
21,147,4
22,146,5
23,146,5
24,146,5
25,145,6
26,145,6
27,146,5
28,147,4
29,147,4
30,147,4
31,147,4
32,147,4
33,147,4
34,148,3
35,147,4
36,147,4
37,146,5
38,145,6
39,145,6
40,144,7
41,142,9
42,143,8
43,144,7
44,143,8
45,142,9
46,142,9
47,143,8
48,142,9
49,143,8
50,144,7
51,144,7
52,144,7
53,144,7
54,146,5
55,146,5
56,145,6
57,146,5
58,146,5
59,146,5
60,147,4
61,147,4
62,147,4
63,147,4
64,147,4
65,147,4
66,148,3
67,148,3
68,149,2
69,149,2
70,149,2
71,149,2
72,149,2
73,149,2
74,148,3
75,148,3
76,147,4
77,146,5
78,146,5
79,146,5
80,146,5
81,146,5
82,146,5
83,147,4
84,148,3
85,148,3
86,149,2
87,150,1
88,150,1
89,150,1
90,150,1
91,150,1
92,150,1
93,150,1
94,150,1
95,149,2
96,149,2
97,149,2
98,149,2
99,149,2
100,149,2
101,149,2
102,148,3
103,148,3
104,148,3
105,149,2
106,149,2
107,149,2
108,149,2
109,149,2
110,149,2
111,149,2
112,150,1
113,150,1
114,150,1
115,150,1
116,150,1
117,150,1
118,150,1
119,150,1
120,150,1
121,150,1
122,150,1
123,150,1
124,150,1
125,150,1
126,150,1
127,150,1
128,150,1
129,150,1
130,150,1
131,150,1
132,150,1
133,150,1
134,150,1
135,150,1
136,150,1
137,150,1
138,150,1
139,150,1
140,150,1
141,150,1
142,149,2
143,149,2
144,149,2
145,149,2
146,149,2
147,149,2
148,148,3
149,148,3
150,148,3
151,148,3
152,149,2
153,149,2
154,149,2
155,149,2
156,149,2
157,149,2
158,150,1
159,150,1
160,149,2
161,149,2
162,149,2
163,149,2
164,149,2
165,149,2
166,149,2
167,149,2
168,149,2
169,149,2
170,150,1
171,150,1
172,150,1
173,150,1
174,150,1
175,150,1
176,150,1
177,150,1
178,150,1
179,150,1
180,150,1
181,150,1
182,150,1
183,150,1
184,150,1
185,150,1
186,149,2
187,148,3
188,148,3
189,146,5
190,146,5
191,146,5
192,145,6
193,145,6
194,143,8
195,141,10
196,142,9
197,141,10
198,141,10
199,143,8
200,142,9
201,143,8
202,143,8
203,143,8
204,145,6
205,145,6
206,143,8
207,144,7
208,144,7
209,144,7
210,143,8
211,142,9
212,141,10
213,141,10
214,141,10
215,143,8
216,143,8
217,144,7
218,145,6
219,145,6
220,146,5
221,146,5
222,146,5
223,147,4
224,144,7
225,145,6
226,145,6
227,145,6
228,146,5
229,145,6
230,144,7
231,144,7
232,145,6
233,147,4
234,148,3
235,148,3
236,148,3
237,148,3
238,148,3
239,149,2
240,149,2
241,149,2
242,149,2
243,149,2
244,149,2
245,149,2
246,149,2
247,148,3
248,148,3
249,149,2
250,149,2
251,149,2
252,149,2
253,149,2
254,149,2
255,149,2
256,148,3
257,149,2
258,149,2
259,149,2
260,149,2
261,149,2
262,149,2
263,148,3
264,148,3
265,148,3
266,149,2
267,149,2
268,149,2
269,149,2
270,149,2
271,149,2
272,149,2
273,150,1
274,150,1
275,150,1
276,150,1
277,150,1
278,150,1
279,150,1
280,150,1
281,150,1
282,150,1
283,150,1
284,150,1
285,150,1
286,150,1
287,150,1
288,150,1
289,150,1
290,150,1
291,150,1
292,150,1
293,150,1
294,150,1
295,150,1
296,149,2
297,149,2
298,149,2
299,149,2
300,149,2
301,149,2
302,149,2
303,148,3
304,148,3
305,148,3
306,149,2
307,149,2
308,148,3
309,148,3
310,148,3
311,147,4
312,147,4
313,148,3
314,148,3
315,148,3
316,148,3
317,148,3
318,147,4
319,147,4
320,147,4
321,148,3
322,148,3
323,148,3
324,148,3
325,146,5
326,146,5
327,146,5
328,147,4
329,147,4
330,147,4
331,147,4
332,147,4
333,147,4
334,147,4
335,149,2
336,147,4
337,148,3
338,148,3
339,148,3
340,148,3
341,147,4
342,147,4
343,147,4
344,147,4
345,147,4
346,148,3
347,148,3
348,148,3
349,148,3
350,147,4
351,147,4
352,147,4
353,147,4
354,145,6
355,145,6
356,146,5
357,146,5
358,146,5
359,145,6
360,145,6
361,144,7
362,143,8
363,144,7
364,144,7
365,144,7
366,144,7
367,144,7
368,143,8
369,143,8
370,143,8
371,146,5
372,146,5
373,146,5
374,147,4
375,147,4
376,146,5
377,146,5
378,147,4
379,148,3
380,148,3
381,147,4
382,147,4
383,147,4
384,146,5
385,145,6
386,146,5
387,146,5
388,145,6
389,146,5
390,146,5
391,146,5
392,146,5
393,145,6
394,145,6
395,145,6
396,144,7
397,143,8
398,143,8
399,143,8
400,143,8
401,143,8
402,142,9
403,141,10
404,141,10
405,142,9
406,141,10
407,142,9
408,143,8
409,143,8
410,144,7
411,139,12
412,140,11
413,138,13
414,137,14
415,134,17
416,134,17
417,133,18
418,131,20
419,128,23
420,133,18
421,133,18
422,136,15
423,135,16
424,139,12
425,139,12
426,139,12
427,139,12
428,140,11
429,140,11
430,137,14
431,136,15
432,137,14
433,137,14
434,133,18
435,132,19
436,134,17
437,134,17
438,135,16
439,138,13
440,137,14
441,139,12
442,139,12
443,143,8
444,144,7
445,145,6
446,146,5
447,147,4
448,146,5
449,146,5
450,148,3
451,147,4
452,147,4
453,147,4
454,148,3
455,148,3
456,148,3
457,148,3
458,149,2
459,149,2
460,150,1
461,150,1
462,150,1
463,149,2
464,148,3
465,148,3
466,147,4
467,147,4
468,146,5
469,143,8
470,142,9
471,141,10
472,141,10
473,142,9
474,140,11
475,138,13
476,139,12
477,137,14
478,138,13
479,140,11
480,139,12
481,139,12
482,140,11
483,141,10
484,141,10
485,141,10
486,141,10
487,140,11
488,140,11
489,139,12
490,140,11
491,139,12
492,138,13
493,138,13
494,137,14
495,138,13
496,137,14
497,135,16
498,135,16
499,134,17
500,132,19
501,132,19
502,133,18
503,136,15
504,134,17
505,134,17
506,135,16
507,138,13
508,138,13
509,139,12
510,139,12
511,139,12
512,139,12
513,139,12
514,143,8
515,145,6
516,145,6
517,144,7
518,144,7
519,145,6
520,146,5
521,146,5
522,146,5
523,146,5
524,146,5
525,146,5
526,148,3
527,148,3
528,149,2
529,149,2
530,150,1
531,150,1
532,150,1
533,150,1
534,150,1
535,150,1
536,150,1
537,150,1
538,150,1
539,150,1
540,150,1
541,150,1
542,149,2
543,149,2
544,148,3
545,148,3
546,148,3
547,148,3
548,148,3
549,148,3
550,148,3
551,148,3
552,149,2
553,150,1
554,150,1
555,150,1
556,150,1
557,150,1
558,150,1
559,150,1
560,150,1
561,150,1
562,149,2
563,149,2
564,148,3
565,148,3
566,147,4
567,146,5
568,144,7
569,144,7
570,144,7
571,142,9
572,141,10
573,142,9
574,142,9
575,141,10
576,140,11
577,140,11
578,141,10
579,140,11
580,142,9
581,141,10
582,141,10
583,140,11
584,140,11
585,142,9
586,140,11
587,140,11
588,141,10
589,140,11
590,140,11
591,142,9
592,142,9
593,141,10
594,140,11
595,141,10
596,143,8
597,144,7
598,144,7
599,144,7
600,142,9
601,142,9
602,141,10
603,142,9
604,138,13
605,138,13
606,138,13
607,137,14
608,136,15
609,136,15
610,136,15
611,137,14
612,138,13
613,140,11
614,141,10
615,139,12
616,140,11
617,139,12
618,140,11
619,141,10
620,141,10
621,142,9
622,141,10
623,141,10
624,140,11
625,142,9
626,143,8
627,145,6
628,145,6
629,145,6
630,144,7
631,143,8
632,143,8
633,145,6
634,144,7
635,144,7
636,145,6
637,145,6
638,146,5
639,145,6
640,146,5
641,146,5
642,147,4
643,148,3
644,147,4
645,147,4
646,146,5
647,146,5
648,146,5
649,146,5
650,146,5
651,145,6
652,145,6
653,144,7
654,145,6
655,145,6
656,146,5
657,146,5
658,147,4
659,147,4
660,149,2
661,149,2
662,149,2
663,150,1
664,150,1
665,150,1
666,149,2
667,146,5
668,146,5
669,146,5
670,146,5
671,146,5
672,145,6
673,145,6
674,145,6
675,145,6
676,146,5
677,149,2
678,149,2
679,149,2
680,149,2
681,149,2
682,150,1
683,150,1
684,150,1
685,149,2
686,149,2
687,149,2
688,148,3
689,148,3
690,147,4
691,146,5
692,146,5
693,146,5
694,146,5
695,147,4
696,146,5
697,146,5
698,146,5
699,147,4
700,148,3
701,148,3
702,148,3
703,148,3
704,148,3
705,148,3
706,149,2
707,149,2
708,150,1
709,150,1
710,150,1
711,150,1
712,150,1
713,150,1
714,149,2
715,148,3
716,148,3
717,148,3
718,147,4
719,147,4
720,147,4
721,147,4
722,147,4
723,147,4
724,148,3
725,148,3
726,148,3
727,148,3
728,149,2
729,149,2
730,149,2
731,149,2
732,149,2
733,149,2
734,149,2
735,150,1
736,150,1
737,150,1
738,150,1
739,150,1
740,150,1
741,150,1
742,150,1
743,150,1
744,150,1
745,150,1
746,150,1
747,150,1
748,150,1
749,150,1
750,150,1
751,150,1
752,150,1
753,150,1
754,150,1
755,150,1
756,150,1
757,150,1
758,150,1
759,150,1
760,150,1
761,150,1
762,150,1
763,150,1
764,150,1
765,150,1
766,150,1
767,150,1
768,150,1
769,150,1
770,150,1
771,150,1
772,150,1
773,150,1
774,150,1
775,150,1
776,150,1
777,150,1
778,150,1
779,149,2
780,149,2
781,149,2
782,149,2
783,149,2
784,148,3
785,148,3
786,148,3
787,148,3
788,148,3
789,149,2
790,149,2
791,148,3
792,148,3
793,147,4
794,148,3
795,148,3
796,148,3
797,148,3
798,148,3
799,148,3
800,148,3
801,149,2
802,149,2
803,150,1
804,150,1
805,150,1
806,150,1
807,150,1
808,150,1
809,149,2
810,149,2
811,149,2
812,149,2
813,148,3
814,148,3
815,148,3
816,148,3
817,146,5
818,145,6
819,146,5
820,146,5
821,145,6
822,145,6
823,146,5
824,145,6
825,145,6
826,145,6
827,148,3
828,148,3
829,148,3
830,148,3
831,149,2
832,149,2
833,149,2
834,150,1
835,150,1
836,150,1
837,150,1
838,150,1
839,150,1
840,150,1
841,150,1
842,150,1
843,150,1
844,150,1
845,150,1
846,150,1
847,150,1
848,150,1
849,150,1
850,150,1
851,150,1
852,150,1
853,149,2
854,148,3
855,147,4
856,147,4
857,146,5
858,145,6
859,145,6
860,145,6
861,145,6
862,145,6
863,147,4
864,147,4
865,148,3
866,147,4
867,149,2
868,148,3
869,147,4
870,147,4
871,147,4
872,147,4
873,146,5
874,146,5
875,147,4
876,146,5
877,146,5
878,148,3
879,148,3
880,148,3
881,148,3
882,149,2
883,149,2
884,148,3
885,147,4
886,148,3
887,148,3
888,148,3
889,148,3
890,148,3
891,148,3
892,147,4
893,147,4
894,146,5
895,146,5
896,146,5
897,146,5
898,145,6
899,144,7
900,144,7
901,144,7
902,144,7
903,143,8
904,143,8
905,142,9
906,142,9
907,143,8
908,144,7
909,141,10
910,139,12
911,139,12
912,139,12
913,138,13
914,139,12
915,140,11
916,140,11
917,138,13
918,138,13
919,139,12
920,140,11
921,139,12
922,138,13
923,140,11
924,141,10
925,140,11
926,139,12
927,141,10
928,140,11
929,140,11
930,140,11
931,137,14
932,138,13
933,136,15
934,134,17
935,134,17
936,133,18
937,134,17
938,133,18
939,133,18
940,134,17
941,138,13
942,137,14
943,136,15
944,139,12
945,140,11
946,140,11
947,140,11
948,140,11
949,140,11
950,139,12
951,140,11
952,143,8
953,143,8
954,143,8
955,144,7
956,144,7
957,145,6
958,145,6
959,146,5
960,144,7
961,144,7
962,144,7
963,144,7
964,144,7
965,145,6
966,144,7
967,143,8
968,142,9
969,144,7
970,141,10
971,140,11
972,140,11
973,140,11
974,138,13
975,138,13
976,138,13
977,140,11
978,140,11
979,142,9
980,143,8
981,142,9
982,141,10
983,141,10
984,142,9
985,140,11
986,141,10
987,140,11
988,139,12
989,140,11
990,133,18
991,133,18
992,131,20
993,130,21
994,129,22
995,127,24
996,129,22
997,125,26
998,125,26
999,129,22
1000,132,19
1001,132,19
1002,132,19
1003,132,19
1004,133,18
1005,134,17
1006,136,15
1007,136,15
1008,135,16
1009,134,17
1010,134,17
1011,137,14
1012,139,12
1013,140,11
1014,141,10
1015,140,11
1016,140,11
1017,140,11
1018,143,8
1019,143,8
1020,143,8
1021,143,8
1022,143,8
1023,141,10
1024,141,10
1025,144,7
1026,144,7
1027,144,7
1028,144,7
1029,144,7
1030,144,7
1031,144,7
1032,145,6
1033,144,7
1034,141,10
1035,141,10
1036,141,10
1037,140,11
1038,141,10
1039,142,9
1040,140,11
1041,141,10
1042,139,12
1043,142,9
1044,143,8
1045,144,7
1046,144,7
1047,145,6
1048,145,6
1049,142,9
1050,144,7
1051,144,7
1052,145,6
1053,146,5
1054,146,5
1055,146,5
1056,146,5
1057,146,5
1058,147,4
1059,149,2
1060,150,1
1061,150,1
1062,151,0
1063,151,0
1064,151,0
1065,151,0
1066,151,0
1067,151,0
1068,151,0
1069,151,0
1070,151,0
1071,151,0
1072,151,0
1073,151,0
1074,151,0
1075,151,0
1076,151,0
1077,151,0
1078,151,0
1079,151,0
1080,151,0
1081,151,0
1082,151,0
1083,151,0
1084,151,0
1085,151,0
1086,151,0
1087,151,0
1088,151,0
1089,151,0
1090,151,0
1091,151,0
1092,151,0
1093,151,0
1094,151,0
1095,151,0
1096,151,0
1097,151,0
1098,151,0
1099,151,0
1100,151,0
1101,151,0
1102,151,0
1103,151,0
1104,151,0
1105,151,0
1106,151,0
1107,151,0
1108,151,0
1109,151,0
1110,151,0
1111,151,0
1112,151,0
1113,151,0
1114,151,0
1115,151,0
1116,151,0
1117,151,0
1118,151,0
1119,151,0
1120,151,0
1121,151,0
1122,151,0
1123,151,0
1124,151,0
1125,151,0
1126,151,0
1127,151,0
1128,151,0
1129,151,0
1130,151,0
1131,151,0
1132,151,0
1133,151,0
1134,151,0
1135,151,0
1136,151,0
1137,151,0
1138,151,0
1139,151,0
1140,151,0
1141,151,0
1142,151,0
1143,151,0
1144,151,0
1145,151,0
1146,151,0
1147,151,0
1148,151,0
1149,151,0
1150,151,0
1151,151,0
1152,151,0
1153,151,0
1154,151,0
1155,151,0
1156,151,0
1157,151,0
1158,151,0
1159,151,0
1160,151,0
1161,151,0
1162,151,0
1163,151,0
1164,151,0
1165,151,0
1166,151,0
1167,151,0
1168,151,0
1169,151,0
1170,151,0
1171,151,0
1172,151,0
1173,151,0
1174,151,0
1175,151,0
1176,151,0
1177,151,0
1178,151,0
1179,151,0
1180,151,0
1181,151,0
1182,151,0
1183,151,0
1184,151,0
1185,151,0
1186,151,0
1187,151,0
1188,151,0
1189,151,0
1190,151,0
1191,151,0
1192,151,0
1193,151,0
1194,151,0
1195,151,0
1196,151,0
1197,151,0
1198,151,0
1199,151,0
1200,151,0
1201,151,0
1202,151,0
1203,151,0
1204,151,0
1205,151,0
1206,151,0
1207,151,0
1208,151,0
1209,151,0
1210,151,0
1211,151,0
1212,151,0
1213,151,0
1214,151,0
1215,151,0
1216,151,0
1217,151,0
1218,151,0
1219,151,0
1220,151,0
1221,151,0
1222,151,0
1223,151,0
1224,151,0
1225,151,0
1226,151,0
1227,151,0
1228,151,0
1229,151,0
1230,151,0
1231,151,0
1232,151,0
1233,151,0
1234,151,0
1235,151,0
1236,151,0
1237,151,0
1238,151,0
1239,151,0
1240,151,0
1241,151,0
1242,151,0
1243,151,0
1244,151,0
1245,151,0
1246,151,0
1247,151,0
1248,151,0
1249,151,0
1250,151,0
1251,151,0
1252,151,0
1253,151,0
1254,151,0
1255,151,0
1256,151,0
1257,151,0
1258,151,0
1259,151,0
1260,151,0
1261,151,0
1262,151,0
1263,151,0
1264,151,0
1265,151,0
1266,151,0
1267,151,0
